url,length,entropy,percent_num,num_special,bao_chi,chinh_tri,co_bac,khieu_dam,tpmt,con_lai,label
vingroupglobal com,14,3.379,0,0,0,0,0,0,0,1,1
nghiatinhdongdoi,16,2.906,0,0,1,0,0,0,0,0,0
gatecng com,7,2.522,0,0,0,0,0,0,0,1,1
com-qn top,6,2.585,0,1,0,0,0,0,0,1,1
thegarenafreefire com,17,2.89,0,0,0,0,0,0,0,1,1
dailyu,6,2.585,0,0,1,0,0,0,0,0,0
merge-au com,8,2.75,0,1,0,0,0,0,0,1,1
datnensodo,10,2.722,0,0,0,0,0,0,0,1,0
daigiabao,9,2.419,0,0,1,0,0,0,0,0,0
vnkacom site,7,2.807,0,0,0,0,0,0,0,1,1
dactinhotel com,11,3.278,0,0,1,0,0,0,0,0,0
cuuho24h,8,2.5,25,0,1,0,0,0,0,0,0
duocmat net,7,2.807,0,0,0,0,0,0,1,0,1
nhanlucgroup com,12,3.252,0,0,0,0,0,0,1,0,0
cltocdo com,7,2.236,0,0,0,0,0,0,0,1,1
news vlive tv,4,2,0,0,1,0,0,0,0,0,0
shub edu,4,2,0,0,0,0,0,0,0,1,0
airbamboobooking com,16,2.953,0,0,0,0,0,0,1,0,1
tongdaitaxi24h click,14,3.379,14.286,0,1,0,0,0,0,0,0
ddexeo co,6,1.918,0,0,0,0,0,0,1,0,1
metub online,5,2.322,0,0,0,0,0,0,0,1,1
6363,4,1,100,0,0,0,0,0,0,1,1
hondabacninh5s com,14,3.182,7.143,0,0,0,0,0,0,1,0
baodongthap,11,3.096,0,0,1,0,0,0,0,0,0
baovekhucongnghiep com,18,3.614,0,0,1,0,0,0,0,0,0
sunkool com,7,2.522,0,0,0,0,0,0,0,1,0
cangvuhanghaiangiang gov,20,2.741,0,0,0,0,0,0,1,0,0
nhanngocrong com,12,2.585,0,0,0,0,0,0,0,1,1
asim,4,2,0,0,0,0,0,0,0,1,1
kinhtecongnghiephanoi com,21,3.273,0,0,0,0,0,0,1,0,0
vn-nhanqua online,10,2.646,0,1,0,0,0,0,0,1,1
tintuchay3 com,10,3.122,10,0,1,0,0,0,0,0,1
fbs60 com,5,2.322,40,0,0,0,0,0,0,1,1
thanviet com,8,2.75,0,0,0,0,0,0,0,1,0
shopgem net,7,2.807,0,0,0,0,0,0,0,1,1
shopvethan com,10,3.122,0,0,0,0,0,0,0,1,1
tradedata,9,2.197,0,0,0,0,1,0,0,0,0
daotaochungkhoan,16,3.156,0,0,0,0,0,0,0,1,0
thosuanha24h com,12,3.022,16.667,0,1,0,0,0,0,0,0
taixiumomo xyz,10,2.722,0,0,0,0,1,0,0,0,1
bonbit,6,2.252,0,0,0,0,0,0,0,1,1
